"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Aubervilliers","COM",0,0,86533,"Fonctionnaires de catégorie A",65,9.6,2592,75056,7,1598.95608137936
"Aulnay-sous-Bois","COM",0,0,85214,"Grands corps de l'état",53,12.4,1489,93071,6.6,2379.81342877931
"Bondy","COM",0,0,53416,"Fonctionnaires de catégorie A",61,12.6,998,93057,6.6,1990.69091451999
"Clichy-sous-Bois","COM",0,0,29978,"Professeurs du secondaire et techn.",54,8.5,474,93008,3.2,1904.3899863233
"La Courneuve","COM",0,0,42712,"Agents technique et techniciens",64,9.9,1122,75056,4.9,1853.93641037647
"Épinay-sur-Seine","COM",0,0,55754,"Permanents politiques",61,11.3,1088,75056,7,1430.6813882412
"Gagny","COM",0,0,39391,"Retraités fonct.publique (sf enseig.)",79,13.9,612,93077,9.2,1206.01924627453
"Les Lilas","COM",71,1,23119,"Autres professions",63,15.8,514,75056,19.7,1845.95353388987
"Montfermeil","COM",0,0,26262,"Permanents politiques",60,13.6,460,93032,5.9,2252.2885340035
"Montreuil","COM",91,1,109235,"Permanents politiques",43,12.1,3023,75056,18.2,1985.26067615691
"Neuilly-Plaisance","COM",0,0,21321,"Retraités de l'enseignement",73,13.6,395,75056,15.4,1362.06712583838
"Neuilly-sur-Marne","COM",0,0,34859,"Retraités de l'enseignement",82,11.7,586,93032,9.7,1940.8295969477
"Pantin","COM",0,0,55585,"Avocats",59,11.7,1812,75056,15.8,2479.36148313394
"Pierrefitte-sur-Seine","COM",0,0,29728,"Retraités fonct.publique (sf enseig.)",68,10.4,665,93066,5.3,1505.65646562164
"Romainville","COM",0,0,26640,"Fonctionnaires de catégorie A",64,11.7,715,93053,11.2,2598.19943018018
"Rosny-sous-Bois","COM",6,1,45663,"Retr.artis.commerc.chefs d'entrep.",71,13.6,908,75056,10.3,2191.9787462497
"Saint-Denis","COM",0,0,112309,"Ingénieurs",48,9.3,2734,75056,10,2000.87021307286
"Saint-Ouen-sur-Seine","COM",0,0,49949,"Autres cadres (secteur privé)",56,9,1355,75056,16.5,2456.21474503994
"Tremblay-en-France","COM",0,0,35866,"Permanents politiques",76,12.7,648,77294,5.1,3224.9533226454
"Villemomble","COM",10,1,30227,"Autres professions",61,14.4,587,93032,12.3,1603.40326661594
"Choisy-le-Roi","COM",0,0,44781,"Autres cadres (secteur privé)",58,11.9,846,94073,12.2,1732.0714999665
"Créteil","COM",0,0,90052,"Retraités fonct.publique (sf enseig.)",75,13.1,1790,75056,14.4,1802.83588937503
"L'Haÿ-les-Roses","COM",0,0,31416,"Permanents politiques",37,17.9,483,75056,18.5,1806.67327062643
"Joinville-le-Pont","COM",0,0,18973,"Pharmaciens",60,16.8,392,94017,22.4,2583.73054445791
"Saint-Mandé","COM",3,1,22963,"Autres professions libérales",68,17.5,830,75056,35.9,2085.26246788312
"Saint-Maur-des-Fossés","COM",1,1,75833,"Permanents politiques",53,20.2,1419,75056,24.6,1809.1516829085
"Thiais","COM",0,0,29295,"Retraités fonct.publique (sf enseig.)",72,15.7,506,91201,12.3,1590.88255162997
"Villeneuve-le-Roi","COM",0,0,21132,"Fonctionnaires de catégorie A",60,14.6,359,91027,6.7,1835.92454240015
"Villiers-sur-Marne","COM",0,0,29407,"Autres cadres (secteur privé)",69,15.1,539,94017,12.8,1887.75467847791
"Vitry-sur-Seine","COM",0,0,93317,"Cadres supérieurs (secteur privé)",69,13.3,1914,75056,11.2,2108.58937631943
"Argenteuil","COM",0,0,112064,"Retraités salariés privés",73,11.8,2363,95252,8.8,2038.27983420188
"Ermont","COM",0,0,29400,"Professeurs de faculté",73,16,424,95252,15.6,1509.20148401361
"Gonesse","COM",0,0,26556,"Retraités de l'enseignement",71,11.8,451,95019,5.3,2496.38640006025
"Montigny-lès-Cormeilles","COM",0,0,21141,"Autres cadres (secteur privé)",51,10.7,394,95051,7.9,1627.91825883355
"Pontoise","COM",0,0,31880,"Avocats",69,12.5,672,95127,14.2,1489.02904391468
"Bordeaux Métropole","MET",187,1,796273,"Médecins",69,16.3,15999,200054781,16.4,1816.19012107657
"Brest Métropole","MET",210,1,213880,"Autres professions",66,17.8,1826,242900074,12.2,1726.09019113522
"CA Amiens Métropole","CA",0,0,183911,"Autres professions",70,15.8,2078,200054781,11.7,2421.10217675941
"CA Annemasse-les Voirons-Agglomération","CA",1,1,90702,"Retraités de l'enseignement",75,14.2,1305,200067551,9.6,1348.9395745408
"CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS)","CA",0,0,67244,"Avocats",71,30.7,1068,243300316,8.7,1247.09767191125
