siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,part_etudiants,Mode
224600015,Lot,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ac5c34488ee386e5ad2bb40/,4,5ac5c34488ee386e5ad2bb40,,171770,,,datagouv,46,LOT,28.8,20740,6.2,8.3,1714,546,31,1297.77479998885,0.8,
224600015,Lot,La République en marche,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ac5c34488ee386e5ad2bb40/,4,5ac5c34488ee386e5ad2bb40,,171770,,,datagouv,46,LOT,28.8,20740,6.2,8.3,1714,546,31,1297.77479998885,0.8,
224900019,Maine-et-Loire,Union pour un mouvement populaire,DEP,PDL-52,https://data.maine-et-loire.fr/explore/?q=&disjunctive.diffuseur&disjunctive.publisher&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_49&geonav-asc&refine.publisher=D%C3%A9partement+de+Maine-et-Loire,88,https://www.data.gouv.fr/fr/organizations/5e32cef58b4c411011bd3bab/,88,5e32cef58b4c411011bd3bab,,815325,,,ptf+datagouv,49,MAINE-ET-LOIRE,19.2,21110,6.9,7.7,6733,1348,44,848.025654748909,5.6,urbain dense
225005024,Manche,Divers Droite,DEP,NOR-28,https://www.opendata-manche.fr/web/guest/donnees,50,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d87,35,534fff67a3a7292c64a77d87,,492627,,,ptf+datagouv,50,MANCHE,24,20980,4.8,6.2,3292,1277,14,1048.9671840662,0.8,urbain densité intermédiaire
225300011,Mayenne,Union pour la démocratie française,DEP,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5aeab860c751df3bca98b623/,292,5aeab860c751df3bca98b623,,305021,,,datagouv,53,MAYENNE,21.4,20830,4.7,5.5,2411,296,35,1075.04596757747,1.8,
225300011,Mayenne,La République en marche,DEP,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5aeab860c751df3bca98b623/,292,5aeab860c751df3bca98b623,,305021,,,datagouv,53,MAYENNE,21.4,20830,4.7,5.5,2411,296,35,1075.04596757747,1.8,
225400019,Meurthe-et-Moselle,Parti socialiste,DEP,GES-44,http://catalogue.infogeo54.fr/geonetwork/srv/fre/catalog.search#/home,16,https://www.data.gouv.fr/fr/organizations/5bc74634634f4144ed36741c/,1,5bc74634634f4144ed36741c,,731753,,,ptf+datagouv,54,MEURTHE-ET-MOSELLE,18.8,21480,8,8.1,6520,1037,57,990.209472388158,7.3,urbain dense
225600014,Morbihan,Union pour un mouvement populaire,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,17,5c924c1c8b4c41159d78d937,,751309,,,datagouv,56,MORBIHAN,23.5,21600,6.4,7.3,6445,1876,35,889.427039097291,2.2,rural autonome peu dense
225600014,Morbihan,Démocratie libérale,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,17,5c924c1c8b4c41159d78d937,,751309,,,datagouv,56,MORBIHAN,23.5,21600,6.4,7.3,6445,1876,35,889.427039097291,2.2,rural autonome peu dense
225600014,Morbihan,Objectif France,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,17,5c924c1c8b4c41159d78d937,,751309,,,datagouv,56,MORBIHAN,23.5,21600,6.4,7.3,6445,1876,35,889.427039097291,2.2,rural autonome peu dense
