"nom","type","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","niveau_vie","part_diplomes","depenses_hab"
"CA Montluçon Communauté","CA",0,0,84,3,0,0,64249,"Retraités fonct.publique (sf enseig.)",74,"Union pour un mouvement populaire",27.1,415,246300701,20140,4.7,922.639007455369
"CA Morlaix Communauté","CA",0,0,53,29,0,0,66611,"Agents technique et techniciens",65,NA,25.5,465,242900314,21220,6.2,891.185200942787
"CA Mulhouse Alsace Agglomération","CA",35,1,44,68,35,125,277180,NA,NA,NA,18.5,2997,246700488,21040,7.3,933.884030521683
"CA Paris - Vallée de la Marne","CA",6,1,11,77,6,6,229203,"Cadres supérieurs (secteur privé)",67,NA,12.7,3600,200054781,22650,9.5,613.964728733917
"CA Pau Béarn Pyrénées","CA",37,1,75,64,37,0,166399,"Retraités de l'enseignement",70,"Mouvement démocrate",22.2,1960,200067296,22010,12.9,975.135127554853
"CA Pau Béarn Pyrénées","CA",37,1,75,64,37,0,166399,"Retraités de l'enseignement",70,"Union pour la démocratie française",22.2,1960,200067296,22010,12.9,975.135127554853
"CA Pays d'Issoire","CA",0,0,84,63,0,0,57403,"Retraités des professions libérales",72,"Parti socialiste",22.2,468,246300701,21220,5.2,688.711211086529
"CA Pays de Montbéliard Agglomération","CA",0,0,27,25,0,0,142947,NA,NA,NA,21.7,1105,200069052,20730,5.5,998.236827145725
"CA Pays Foix-Varilhes","CA",1,1,76,9,0,1,32990,"Retr.artis.commerc.chefs d'entrep.",72,NA,22.9,329,200066231,21280,7.2,749.940743255532
"CA Plaine Vallée","CA",0,0,11,95,0,0,184322,"Retraités salariés privés",66,NA,15.8,2979,200054781,24730,14.4,310.05681372815
