rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Unité urbaine;Blois;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;100;100;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU41501;R24;;;UU41501
2018;2018-19;Unité urbaine;Roanne;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;1185;1185;oui;450;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU42502;R84;;;UU42502
2018;2018-19;Unité urbaine;Roanne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;28;28;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU42502;R84;;;UU42502
2018;2018-19;Unité urbaine;Monistrol-sur-Loire;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;36;36;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU43301;R84;;;UU43301
2018;2018-19;Unité urbaine;Le Puy-en-Velay;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;440;440;oui;212;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU43401;R84;;;UU43401
2018;2018-19;Unité urbaine;Ancenis;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;21;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44301;R52;;;UU44301
2018;2018-19;Unité urbaine;Châteaubriant;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;155;155;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44302;R52;;;UU44302
2018;2018-19;Unité urbaine;Saint-Nazaire;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;917;917;oui;308;oui;127;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44601;R52;;;UU44601
2018;2018-19;Unité urbaine;Saint-Nazaire;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;452;452;non;;oui;289;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44601;R52;;;UU44601
2018;2018-19;Unité urbaine;Nantes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;9117;9117;non;;oui;193;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU44701;R52;;;UU44701
2018;2018-19;Unité urbaine;Pithiviers;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;37;37;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45301;R24;;;UU45301
