Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
02006;Aisonville-et-Bernoville;21.4;2;null;1.9
02007;Aizelles;22.4;1;null;4.9
02008;Aizy-Jouy;10.7;1;null;4.1
02009;Alaincourt;20.4;3;null;3.2
02010;Allemant;11.9;1;null;1.7
02011;Ambleny;19.9;6;null;5.2
02012;Ambrief;9.9;0;null;16.4
02013;Amifontaine;15.5;3;null;4.3
02014;Amigny-Rouy;14.3;6;null;3.2
02015;Ancienville;15.8;1;null;6.7
02016;Andelain;15.3;1;null;2.7
02017;Anguilcourt-le-Sart;13.9;3;null;6.5
02018;Anizy-le-Grand;20.9;15;null;3.5
02019;Annois;22.5;6;null;3.6
02020;Any-Martin-Rieux;20.8;5;null;4.8
02021;Archon;22.5;0;null;2.9
02022;Arcy-Sainte-Restitue;18.6;6;null;4.4
02023;Armentières-sur-Ourcq;14.7;0;null;2.6
02024;Arrancy;30.2;0;null;2.6
02025;Artemps;16.2;1;null;4.9
02027;Assis-sur-Serre;22;1;null;2.3
02028;Athies-sous-Laon;19.8;10;null;3.4
02029;Attilly;19.2;2;null;7.1
02030;Aubencheul-aux-Bois;24.5;1;null;1
02031;Aubenton;21.1;4;null;3.6
02032;Aubigny-aux-Kaisnes;12.6;3;null;0.5
02033;Aubigny-en-Laonnois;16.2;0;null;7.1
02034;Audignicourt;9.3;0;null;10.8
02035;Audigny;13.6;0;null;1.6
02036;Augy;18.1;0;null;1.8
02037;Aulnois-sous-Laon;18.7;6;null;4.1
02038;Les Autels;36.2;0;null;0
02039;Autremencourt;13.6;1;null;1.6
02040;Autreppes;18;1;null;7.2
02041;Autreville;22.1;4;null;2.1
02042;Azy-sur-Marne;20.1;3;null;4
02043;Bagneux;16.9;0;null;0
02044;Bancigny;26.9;0;null;4.8
02046;Barenton-Bugny;17.9;1;null;2.1
02047;Barenton-Cel;17.1;0;null;2.2
02048;Barenton-sur-Serre;15.4;0;null;3.1
02049;Barisis-aux-Bois;23.1;2;null;3.3
02050;Barzy-en-Thiérache;18.7;1;null;1.3
02051;Barzy-sur-Marne;25.1;2;null;5.2
02052;Bassoles-Aulers;19.9;0;null;1
02053;Vallées en Champagne;21.4;4;null;5.5
02054;Bazoches-sur-Vesles;16.6;2;null;6.1
02055;Beaumé;34.8;0;null;3.9
02056;Beaumont-en-Beine;14.7;2;null;4.1
02057;Beaurevoir;22.3;7;null;2.7
02058;Beaurieux;14.2;12;null;3.3
02059;Beautor;20;12;null;1.3
02060;Beauvois-en-Vermandois;21.2;0;null;2.9
02061;Becquigny;12.8;1;null;2.3
