nom,SIREN,type,code_region,code_departement
CC du Barséquanais en Champagne,200069003,MET,44,10
CC du Bas Armagnac,243200409,MET,76,32
CC du Bassin d'Aubenas,200073245,MET,84,7
CC du Bassin de Joinville en Champagne,200044253,MET,44,52
CC du Bassin de Marennes,241700699,MET,75,17
CC du Bassin de Pompey,245400601,MET,44,54
CC du Bassin de Pont-à-Mousson,200041515,MET,44,54
CC du Bazadais,200043982,MET,75,33
CC du Béarn des Gaves,200067288,MET,75,64
CC du Bocage Bourbonnais,200071496,MET,84,3
CC du Bocage Mayennais,245300389,MET,52,53
CC du Bonnevalais,242852465,MET,24,28
CC du Briançonnais,240500439,MET,93,5
CC du Canton d'Erstein,200067924,MET,44,67
CC du Canton d'Oulchy-le-Château,240200519,MET,32,2
CC du Canton de Charly-sur-Marne,240200584,MET,32,2
CC du Canton de la Chambre,247300361,MET,84,73
CC du Canton de Semur-en-Brionnais,247103864,MET,27,71
CC du Cap Corse,200042943,MET,94,
CC du Castelrenaudais,243700499,MET,24,37
CC du Causse de Labastide-Murat,244600573,MET,76,46
CC du Centre-Ouest,200059871,MET,6,976
CC du Centre Corse,242020071,MET,94,
CC du Centre du Haut-Rhin,246800445,MET,44,68
CC du Chaourçois et du Val d'Armance,200071041,MET,44,10
CC du Châtillonnais en Berry,200035848,MET,24,36
CC du Chemin des Dames,240200592,MET,32,2
CC du Civraisien en Poitou,200070035,MET,75,86
CC du Clermontais,243400355,MET,76,34
CC du Clermontois,246000376,MET,32,60
CC du Clunisois,200040293,MET,27,71
CC du Confluent et des Coteaux de Prayssas,200068922,MET,75,47
CC du Cordais et du Causse (4 C),200034064,MET,76,81
CC du Créonnais,243301215,MET,75,33
CC du Crestois et de Pays de Saillans Cœur de Drôme,200040509,MET,84,26
CC du Diois,242600534,MET,84,26
CC du District Urbain de Faulquemont (DUF),245700133,MET,44,57
CC du Doubs Baumois,242504447,MET,27,25
CC du Fronsadais,243301397,MET,75,33
CC du Frontonnais,200034957,MET,76,31
CC du Gâtinais en Bourgogne,248900748,MET,27,89
CC du Genevois,247400690,MET,84,74
CC du Gévaudan,244800470,MET,76,48
CC du Golfe de Saint-Tropez,200036077,MET,93,83
CC du Grand Armagnac,243200458,MET,76,32
CC du Grand Autunois Morvan,200070530,MET,27,71
CC du Grand Chambord,244100798,MET,24,41
CC du Grand Châteaudun,200069961,MET,24,28
CC du Grand Cubzaguais,243301223,MET,75,33
CC du Grand Langres,200072999,MET,44,52
