Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200065886;CA Loire Forez Agglomération;20.9;1087;244200770;21850;5.2
200065894;CC de Forez-Est;22.2;541;244200770;21810;5
200065928;CA Lannion-Trégor Communauté;29.1;696;200067981;21620;9.3
200066009;CA Mulhouse Alsace Agglomération;18.5;2997;246700488;21040;7.3
200066017;CC Lieuvin Pays d'Auge;20.2;173;200066413;20940;3.8
200066025;CC Pays Rhin - Brisach;16.7;215;246800726;24520;4.2
200066033;CC Sud Alsace Largue;17.9;150;null;24700;4.3
200066041;CC Sundgau;18.8;296;200066009;27540;5.9
200066058;CA Saint-Louis Agglomération;17.2;671;200066009;29800;10.4
200066108;CC des Portes de Meuse;21.7;91;200033025;21020;2.6
200066116;CC Argonne-Meuse;25.9;28;null;20380;3.3
200066124;CA Gaillac-Graulhet;23.1;898;248100737;20330;7
200066132;CC du Pays de Stenay et du Val Dunois;26.2;33;null;19630;2.5
200066140;CC de l'Aire à l'Argonne;22.3;35;null;21310;4.2
200066157;CC de Commercy - Void - Vaucouleurs;21.6;102;null;19950;3.5
200066165;CC Val de Meuse - Voie Sacrée;18.8;45;200049187;21050;3.1
200066173;CC de Damvillers Spincourt;17;34;null;20410;2.5
200066223;CC Arize Lèze;25.2;118;null;19110;6
200066231;CC des Portes d'Ariège Pyrénées;21;403;200067791;19860;5
200066280;CC du Pithiverais;19;188;200071850;21050;3.6
200066322;CC Terres des Confluences;22.2;355;248200099;18710;3.9
200066330;CC Terres du Haut Berry;21.5;183;241800507;22310;4.8
200066348;CC du Minervois au Caroux;29.7;146;null;17670;6.1
200066355;CA Sète Agglopôle Méditerranée;25.9;1596;243400017;19970;6.4
200066363;CC de la Haute Ariège;30.8;76;null;20570;5.7
200066371;CC Causses et Vallée de la Dordogne;29.5;430;null;20570;5.3
200066389;CA Saint-Lô Agglo;21.6;507;200065597;21020;4.6
200066405;CC Roumois Seine;18.2;300;200023414;23720;5.6
200066413;CC Intercom Bernay Terres de Normandie;22.8;366;200023414;21050;4.3
200066462;CC Interco Normandie Sud Eure;21.4;300;200071454;20580;4.2
200066512;CC Élan Limousin Avenir Nature;22.4;184;248719312;21110;4.5
200066520;CC Ouest Limousin;30.4;104;null;19340;4
