Exercice;Outre-mer;Code Insee 2020 Région;Nom 2020 Région;Code Insee 2020 Département;Nom 2020 Département;Strate population 2020;Nature juridique 2020 abrégée;Mode de financement 2020 abrégé;Tranche revenu par habitant;Présence QPV;Code Siren 2020 EPCI;Nom 2020 EPCI;Catégorie;Code Siren Collectivité;Libellé Budget;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2019 disponible;agregat_niveau;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;Remarque;ordre_affichage
2019;Non;52;Pays de la Loire;49;Maine-et-Loire;4;CA;FPU;1;Oui;200071876;CA Saumur Val de Loire;GFP;200071876;CA SAUMUR VAL DE LOIRE;Dépenses totales;67785406.1;67.78540609999999;103473;655.1023561702086;1;1;;1;;;;;;;;;NA;
2019;Non;27,84;Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté;03,71;Allier,Saône-et-Loire;2;CC;FPU;1;Non;200071884;CC Le Grand Charolais;GFP;200071884;CC LE GRAND CHAROLAIS;Dépenses totales;18422411.01;18.42241101;41905;439.62321942488967;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;02;Aisne;3;CA;FPU;1;Oui;200071892;CA du Saint-Quentinois;GFP;200071892;CA DU SAINT-QUENTINOIS;Dépenses totales;96367160.23;96.36716023000001;83579;1153.006858541021;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;85;Vendée;2;CC;FPU;2;Non;200071900;CC Vendée Grand Littoral;GFP;200071900;CC VENDEE GRAND LITTORAL;Dépenses totales;13638621.58;13.63862158;34117;399.760283143301;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;85;Vendée;2;CC;FPU;1;Non;200071918;CC du Pays de Saint-Fulgent - Les Essarts;GFP;200071918;CC PAYS ST-FULGENT-LES ESSARTS;Dépenses totales;21985721.62;21.98572162;28135;781.4367023280612;1;1;;1;;;;;;;;;NA;
2019;Non;76;Occitanie;11;Aude;2;CC;FPU;1;Oui;200071926;CC du Limouxin;GFP;200071926;CC DU LIMOUXIN;Dépenses totales;19494395.09;19.49439509;29425;662.5113029736618;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;85;Vendée;2;CC;FPU;1;Oui;200071934;CC Pays de Fontenay-Vendée;GFP;200071934;CC PAYS DE FONTENAY-VENDEE;Dépenses totales;18275191.2;18.2751912;36459;501.2532214268082;1;1;;1;;;;;;;;;NA;
2019;Non;75;Nouvelle-Aquitaine;87;Haute-Vienne;1;CC;FPU;1;Non;200071942;CC Haut Limousin en Marche;GFP;200071942;CC HAUT LIMOUSIN EN MARCHE;Dépenses totales;12007826.31;12.00782631;24184;496.5194471551439;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;74;Haute-Savoie;2;CC;FPU;2;Non;200071967;CC Pays d'Évian Vallée d'Abondance;GFP;200071967;CC PAYS EVIAN VALLEE ABONDANCE;Dépenses totales;39828510.6;39.8285106;41391;962.2505037326955;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;02;Aisne;1;CC;FA;1;Non;200071983;CC Thiérache Sambre et Oise;GFP;200071983;CC THIERACHE SAMBRE ET OISE;Dépenses totales;8569107.0;8.569107;17475;490.36377682403435;1;1;;1;;;;;;;;;NA;
